index status
584660 1
584661 1
584662 1
584663 1
584664 1
584665 1
584666 1
584667 1
584668 1
584669 1
584670 1
584671 1
584672 1
584673 1
584674 1
584675 1
584676 1
584677 1
584678 1
584679 1
584680 1
584681 1
584682 1
584683 1
584684 1
584685 1
584686 1
584687 1
584688 1
584689 1
584690 1
584691 1
584692 1
584693 1
584694 1
584695 1
584696 1
584697 1
584698 1
584699 1
584700 1
584701 1
584702 1
584703 1
584704 1
584705 1
584706 1
584707 -1
584708 1
584709 1
584710 1
584711 1
584712 1
584713 1
584714 1
584715 1
584716 1
584717 1
584718 1
584719 1
584720 1
584721 1
584722 1
584723 1
584724 1
584725 1
584726 1
584727 1
584728 1
584729 1
584730 1
584731 1
584732 1
584733 1
584734 1
584735 1
584736 1
584737 1
584738 1
584739 1
584740 1
584741 1
584742 1
584743 1
584744 1
584745 1
584746 1
584747 1
584748 1
584749 1
584750 1
584751 1
584752 1
584753 1
584754 1
584755 1
584756 1
584757 -1
584758 -1
584759 -1
584760 -1
584761 -1
584762 -1
584763 -1
584764 -1
584765 -1
584766 -1
584767 -1
584768 -1
584769 -1
584770 -1
584771 -1
584772 -1
584773 -1
584774 -1
584775 -1
584776 -1
584777 -1
584778 -1
584779 -1
584780 -1
584781 -1
584782 -1
584783 -1
584784 -1
584785 -1
584786 -1
584787 -1
584788 -1
584789 -1
584790 -1
584791 -1
584792 -1
584793 -1
584794 -1
584795 -1
584796 -1
584797 -1
584798 -1
584799 -1
584800 -1
584801 -1
584802 -1
584803 -1
584804 -1
584805 -1
584806 -1
584807 -1
584808 -1
584809 -1
584810 -1
584811 -1
584812 -1
584813 -1
584814 -1
584815 -1
584816 -1
584817 -1
584818 -1
584819 -1
584820 -1
584821 -1
584822 -1
584823 -1
584824 -1
584825 -1
584826 -1
584827 -1
584828 -1
584829 -1
584830 -1
584831 -1
584832 -1
584833 -1
584834 -1
584835 -1
584836 -1
584837 -1
584838 -1
584839 -1
584840 -1
584841 -1
584842 -1
584843 -1
584844 -1
584845 -1
584846 -1
584847 -1
584848 -1
584849 -1
584850 -1
584851 -1
584852 -1
584853 -1
584854 -1
584855 -1
584856 -1
584857 -1
584858 -1
584859 -1
584860 -1
584861 -1
584862 -1
584863 -1
584864 -1
584865 -1
584866 -1
584867 -1
584868 -1
584869 -1
584870 -1
584871 -1
584872 -1
584873 -1
584874 -1
584875 -1
584876 -1
584877 -1
584878 -1
584879 -1
584880 -1
584881 -1
584882 -1
584883 -1
584884 -1
584885 -1
584886 -1
584887 -1
584888 -1
584889 -1
584890 -1
584891 -1
584892 -1
584893 -1
584894 -1
584895 -1
584896 -1
584897 -1
584898 -1
584899 -1
584900 -1
584901 -1
584902 -1
584903 -1
584904 -1
584905 -1
584906 -1
584907 -1
584908 -1
584909 -1
584910 -1
584911 -1
584912 -1
584913 -1
584914 -1
584915 -1
584916 -1
584917 -1
584918 -1
584919 -1
584920 -1
584921 -1
584922 -1
584923 -1
584924 -1
584925 -1
584926 -1
584927 -1
584928 -1
584929 -1
584930 -1
584931 -1
584932 -1
584933 -1
584934 -1
584935 -1
584936 -1
584937 -1
584938 -1
584939 -1
584940 -1
584941 -1
584942 -1
584943 -1
584944 -1
584945 -1
584946 -1
584947 -1
584948 -1
584949 -1
584950 -1
584951 -1
584952 -1
584953 -1
584954 -1
584955 -1
584956 -1
584957 -1
584958 -1
584959 -1
584960 -1
584961 -1
584962 -1
584963 -1
584964 -1
584965 -1
584966 -1
584967 -1
584968 -1
584969 -1
584970 -1
584971 -1
584972 -1
584973 -1
584974 -1
584975 -1
584976 -1
584977 -1
584978 -1
584979 -1
584980 -1
584981 -1
584982 -1
584983 -1
584984 -1
584985 -1
584986 -1
584987 -1
584988 -1
584989 -1
584990 -1
584991 -1
584992 -1
584993 -1
584994 -1
584995 -1
584996 -1
584997 -1
584998 -1
584999 -1
585000 -1
585001 -1
585002 -1
585003 -1
585004 -1
585005 -1
585006 -1
585007 -1
585008 -1
585009 -1
585010 -1
585011 -1
585012 -1
585013 -1
585014 -1
585015 -1
585016 -1
585017 -1
585018 -1
585019 -1
585020 -1
585021 -1
585022 -1
585023 -1
585024 -1
585025 -1
585026 -1
585027 -1
585028 -1
585029 -1
585030 -1
585031 -1
585032 -1
585033 -1
585034 -1
585035 -1
585036 -1
585037 -1
585038 -1
585039 -1
585040 -1
585041 -1
585042 -1
585043 -1
585044 -1
585045 -1
585046 -1
585047 -1
585048 -1
585049 -1
585050 -1
585051 -1
585052 -1
585053 -1
585054 -1
585055 -1
585056 -1
585057 -1
585058 -1
585059 -1
585060 -1
585061 -1
585062 -1
585063 -1
585064 -1
585065 -1
585066 -1
585067 -1
585068 -1
585069 -1
585070 -1
585071 -1
585072 -1
585073 -1
585074 -1
585075 -1
585076 -1
585077 -1
585078 -1
585079 -1
585080 -1
585081 -1
585082 -1
585083 -1
585084 -1
585085 -1
585086 -1
585087 -1
585088 -1
585089 -1
585090 -1
585091 -1
585092 -1
585093 -1
585094 -1
585095 -1
585096 -1
585097 -1
585098 -1
585099 -1
585100 -1
585101 -1
585102 -1
585103 -1
585104 -1
585105 -1
585106 -1
585107 -1
585108 -1
585109 -1
585110 -1
585111 -1
585112 -1
585113 -1
585114 -1
585115 -1
585116 -1
585117 -1
585118 -1
585119 -1
585120 -1
585121 -1
585122 -1
585123 -1
585124 -1
585125 -1
585126 -1
585127 -1
585128 -1
585129 -1
585130 -1
585131 -1
585132 -1
585133 -1
585134 -1
585135 -1
585136 -1
585137 -1
585138 -1
585139 -1
585140 -1
585141 -1
585142 -1
585143 -1
585144 -1
585145 -1
585146 -1
585147 -1
585148 -1
585149 -1
585150 -1
585151 -1
585152 -1
585153 -1
585154 -1
585155 -1
585156 -1
585157 -1
585158 -1
585159 -1
585160 -1
585161 -1
585162 -1
585163 -1
585164 -1
585165 -1
585166 -1
585167 -1
585168 -1
585169 -1
585170 -1
585171 -1
585172 -1
585173 -1
585174 -1
585175 -1
585176 -1
585177 -1
585178 -1
585179 -1
585180 -1
585181 -1
585182 -1
585183 -1
585184 -1
585185 -1
585186 -1
585187 -1
585188 -1
585189 -1
585190 -1
585191 -1
585192 -1
585193 -1
585194 -1
585195 -1
585196 -1
585197 -1
585198 -1
585199 -1
585200 -1
585201 -1
585202 -1
585203 -1
585204 -1
585205 -1
585206 -1
585207 -1
585208 -1
585209 -1
585210 -1
585211 -1
585212 -1
585213 -1
585214 -1
585215 -1
585216 -1
585217 -1
585218 -1
585219 -1
585220 -1
585221 -1
585222 -1
585223 -1
585224 -1
585225 -1
585226 -1
585227 -1
585228 -1
585229 -1
585230 -1
585231 -1
585232 -1
585233 -1
585234 -1
585235 -1
585236 -1
585237 -1
585238 -1
585239 -1
585240 -1
585241 -1
585242 -1
585243 -1
585244 -1
585245 -1
585246 -1
585247 -1
585248 -1
585249 -1
585250 -1
585251 -1
585252 -1
585253 -1
585254 -1
585255 -1
585256 -1
585257 -1
585258 -1
585259 -1
585260 -1
585261 -1
585262 -1
585263 -1
585264 -1
585265 -1
585266 -1
585267 -1
585268 -1
585269 -1
585270 -1
585271 -1
585272 -1
585273 -1
585274 -1
585275 -1
585276 -1
585277 -1
585278 -1
585279 -1
585280 -1
585281 -1
585282 -1
585283 -1
585284 -1
585285 -1
585286 -1
585287 -1
585288 -1
585289 -1
585290 -1
585291 -1
585292 -1
585293 -1
585294 -1
585295 -1
585296 -1
585297 -1
585298 -1
585299 -1
585300 -1
585301 -1
585302 -1
585303 -1
585304 -1
585305 -1
585306 -1
585307 -1
585308 -1
585309 -1
585310 -1
585311 -1
585312 -1
585313 -1
585314 -1
585315 -1
585316 -1
585317 -1
585318 -1
585319 -1
585320 -1
585321 -1
585322 -1
585323 -1
585324 -1
585325 -1
585326 -1
585327 -1
585328 -1
585329 -1
585330 -1
585331 -1
585332 -1
585333 -1
585334 -1
585335 -1
585336 -1
585337 -1
585338 -1
585339 -1
585340 -1
585341 -1
585342 -1
585343 -1
585344 -1
585345 -1
585346 -1
585347 -1
585348 -1
585349 -1
585350 -1
585351 -1
585352 -1
585353 -1
585354 -1
585355 -1
585356 -1
585357 -1
585358 -1
585359 -1
585360 -1
585361 -1
585362 -1
585363 -1
585364 -1
585365 -1
585366 1
585367 -1
585368 -1
585369 -1
585370 -1
585371 -1
585372 -1
585373 -1
585374 -1
585375 -1
585376 -1
585377 -1
585378 -1
585379 -1
585380 -1
585381 -1
585382 -1
585383 -1
585384 -1
585385 -1
585386 -1
585387 -1
585388 -1
585389 -1
585390 -1
585391 -1
585392 -1
585393 -1
585394 -1
585395 -1
585396 -1
585397 -1
585398 -1
585399 -1
585400 -1
585401 -1
585402 -1
585403 -1
585404 -1
585405 -1
585406 -1
585407 -1
585408 -1
585409 -1
585410 -1
585411 -1
585412 -1
585413 -1
585414 -1
585415 -1
585416 -1
585417 -1
585418 -1
585419 -1
585420 -1
585421 -1
585422 -1
585423 -1
585424 -1
585425 -1
585426 -1
585427 -1
585428 -1
585429 -1
585430 -1
585431 -1
585432 -1
585433 -1
585434 -1
585435 -1
585436 -1
585437 -1
585438 -1
585439 -1
585440 -1
585441 -1
585442 -1
585443 -1
585444 -1
585445 -1
585446 -1
585447 -1
585448 -1
585449 -1
585450 -1
585451 -1
585452 -1
585453 -1
585454 -1
585455 -1
585456 -1
585457 -1
585458 -1
585459 -1
585460 -1
585461 -1
585462 -1
585463 -1
585464 -1
585465 -1
585466 -1
585467 -1
585468 -1
585469 -1
585470 -1
585471 -1
585472 -1
585473 -1
585474 -1
585475 -1
585476 -1
585477 -1
585478 -1
585479 -1
585480 -1
585481 -1
